time,gsr,ecg
380.67,325,345
381.64,325,346
382.62,325,346
383.59,325,346
384.56,325,344
385.54,325,342
386.51,325,339
387.49,325,337
388.47,325,334
389.46,325,332
390.44,325,331
391.42,325,332
392.39,325,333
393.37,325,335
394.35,325,336
395.33,325,337
396.32,325,338
397.28,325,339
398.26,325,338
399.24,325,335
400.22,325,333
401.19,325,331
402.18,325,330
403.14,325,329
404.12,325,330
405.1,325,331
406.07,325,333
407.03,325,337
408,325,341
408.97,325,343
409.95,325,345
410.94,325,348
411.91,325,348
412.88,325,349
413.86,325,350
414.84,324,352
415.81,324,353
416.8,325,353
417.77,325,352
418.75,325,352
419.72,325,351
420.7,325,351
421.67,325,352
422.64,325,350
423.61,325,350
424.58,324,349
425.55,325,348
426.54,325,347
427.51,324,346
428.48,325,345
429.46,325,345
430.45,325,344
431.43,325,344
432.41,325,345
433.38,325,345
434.35,324,345
435.32,325,347
436.3,325,348
437.29,325,350
438.26,325,352
439.24,325,353
440.22,325,354
441.2,325,354
442.18,324,354
443.17,324,353
444.14,325,353
445.12,324,351
446.1,324,350
447.07,325,349
448.05,325,349
449.01,325,350
449.97,325,352
450.95,325,354
451.94,325,357
452.92,325,358
453.89,324,360
454.86,324,362
455.84,324,363
456.82,325,363
457.79,325,364
458.78,325,364
459.75,325,363
460.72,324,362
461.7,324,361
462.67,325,358
463.66,325,356
464.64,325,356
465.61,324,357
466.58,324,358
467.55,325,361
468.52,324,365
469.49,324,368
470.46,324,371
471.45,325,374
472.43,324,375
473.41,324,377
474.38,324,378
475.35,325,378
476.32,325,378
477.3,325,377
478.28,325,376
479.28,324,376
480.25,324,376
481.22,324,376
482.2,325,377
483.18,325,379
484.17,324,380
485.14,325,383
486.12,325,384
487.1,324,384
488.07,324,384
489.05,325,383
490.02,325,382
490.98,325,382
491.96,325,381
492.94,325,381
493.93,325,381
494.91,325,382
495.88,324,385
496.86,324,388
497.83,325,391
498.81,325,393
499.79,324,394
500.78,325,395
501.75,325,396
502.74,325,395
503.72,324,393
504.7,324,390
505.67,324,390
506.66,324,389
507.63,324,388
508.61,324,389
509.58,325,390
510.55,325,389
511.53,324,392
512.5,324,394
513.46,325,394
514.45,324,398
515.43,324,401
516.42,325,404
517.4,324,408
518.38,324,409
519.35,325,410
520.32,324,410
521.3,325,411
522.28,325,410
523.28,324,409
524.25,324,408
525.22,324,406
526.2,324,404
527.18,324,402
528.16,324,400
529.13,324,398
530.1,325,398
531.07,324,399
532.05,325,400
533.01,325,401
533.97,325,399
534.95,324,401
535.94,324,403
536.92,325,404
537.9,325,406
538.88,324,408
539.86,324,411
540.84,324,413
541.81,324,415
542.79,325,415
543.78,324,415
544.75,324,413
545.73,325,410
546.7,325,407
547.68,324,405
548.66,324,401
549.64,324,398
550.61,325,395
551.58,324,392
552.55,324,389
553.52,324,386
554.49,324,384
555.46,324,383
556.45,324,381
557.43,325,380
558.41,324,378
559.38,324,375
560.36,324,370
561.33,324,365
562.3,324,361
563.28,324,361
564.27,324,360
565.23,324,360
566.21,324,360
567.18,324,358
568.17,324,356
569.14,324,354
570.12,324,352
571.1,325,349
572.07,325,347
573.05,325,345
574.02,324,342
574.98,324,340
575.96,324,338
576.94,324,336
577.93,324,334
578.9,324,334
579.89,324,334
580.86,324,334
581.84,324,335
582.82,325,334
583.79,324,335
584.77,324,336
585.76,324,335
586.72,324,335
587.69,324,335
588.66,324,334
589.65,324,332
590.63,324,331
591.61,324,329
592.58,324,327
593.55,324,324
594.52,324,322
595.5,324,319
596.46,324,318
597.44,324,316
598.42,324,314
599.4,324,313
600.38,324,312
601.37,324,310
602.34,324,309
603.31,324,307
604.28,324,305
605.27,324,306
606.25,324,308
607.22,324,308
608.19,324,309
609.18,324,308
610.16,324,308
611.14,324,308
612.11,324,309
613.09,324,311
614.06,323,313
615.04,323,314
616.02,324,317
616.98,324,317
617.95,324,317
618.93,324,316
619.91,324,315
620.89,324,314
621.87,324,312
622.85,324,310
623.82,323,307
624.8,324,307
625.78,324,306
626.76,324,304
627.76,324,304
628.71,324,304
629.69,323,305
630.67,324,307
631.66,324,309
632.64,324,312
633.62,323,314
634.6,323,314
635.57,323,314
636.54,323,312
637.52,324,310
638.5,324,307
639.46,323,304
640.44,323,304
641.42,323,306
642.4,323,310
643.38,323,314
644.36,323,316
645.33,323,316
646.3,323,317
647.28,324,317
648.27,324,316
649.24,323,314
650.22,323,313
651.2,323,311
652.18,324,311
653.17,323,310
654.14,324,309
655.12,323,308
656.1,323,307
657.07,323,304
658.05,323,301
659.02,323,302
659.98,324,303
660.96,323,304
661.94,323,305
662.92,323,307
663.9,323,308
664.89,323,310
665.86,323,309
666.84,323,309
667.82,323,309
668.8,323,308
669.78,323,309
670.76,324,310
671.76,323,311
672.73,323,314
673.7,323,315
674.69,323,317
675.66,323,318
676.65,323,320
677.63,323,320
678.6,323,320
679.57,323,320
680.54,323,318
681.5,323,317
682.48,323,316
683.46,323,315
684.44,323,314
685.42,323,312
686.4,323,312
687.38,323,313
688.36,323,312
689.33,323,313
690.3,323,313
691.28,323,315
692.27,323,315
693.24,323,315
694.22,323,315
695.2,323,315
696.18,323,316
697.17,323,317
698.14,323,318
699.12,323,320
700.1,323,321
701.07,323,322
702.05,323,321
703.02,323,320
703.98,323,320
704.96,323,320
705.94,323,321
706.93,323,321
707.9,323,323
708.89,323,322
709.86,323,322
710.84,323,320
711.82,323,318
712.8,323,314
713.78,323,312
714.77,323,310
715.74,323,311
716.73,323,313
717.7,323,316
718.69,323,319
719.67,322,320
720.65,323,321
721.62,323,321
722.59,323,318
723.56,323,317
724.54,323,314
725.51,323,312
726.48,323,310
727.46,323,310
728.45,323,311
729.43,323,314
730.42,323,317
731.39,323,321
732.37,323,323
733.34,323,326
734.32,322,327
735.29,323,330
736.28,323,331
737.26,323,332
738.22,323,332
739.2,323,331
740.18,323,330
741.17,323,328
742.14,323,325
743.12,323,323
744.1,323,323
745.07,323,325
746.05,323,327
747.01,323,329
747.98,323,329
748.96,323,330
749.94,323,329
750.93,323,328
751.91,323,328
752.88,323,328
753.86,323,328
754.84,323,328
755.81,323,328
756.79,323,327
757.78,323,327
758.75,323,326
759.74,323,325
760.72,323,323
761.69,323,322
762.66,323,321
763.65,323,320
764.62,323,321
765.6,323,322
766.57,323,326
767.54,323,328
768.51,323,330
769.48,323,331
770.46,323,333
771.45,323,335
772.43,323,336
773.42,323,337
774.39,323,337
775.37,323,337
776.34,323,335
777.32,323,334
778.3,323,333
779.29,323,332
780.26,323,330
781.25,323,329
782.23,323,327
783.21,323,326
784.18,323,324
785.17,322,323
786.14,322,320
787.12,323,318
788.1,323,320
789.07,323,323
790.05,322,325
791.01,323,327
791.98,323,328
792.97,323,331
793.95,323,332
794.94,323,334
795.91,323,336
796.88,323,337
797.86,323,337
798.84,323,336
799.83,323,336
800.81,323,334
801.78,323,333
802.76,323,332
803.74,323,331
804.73,322,330
805.7,323,329
806.68,323,327
807.65,322,326
808.62,322,324
809.58,322,323
810.55,323,324
811.53,323,326
812.5,323,328
813.47,322,332
814.46,323,335
815.44,323,336
816.42,323,339
817.39,323,339
818.37,323,339
819.34,323,338
820.32,323,338
821.3,323,338
822.29,323,337
823.26,323,336
824.25,323,334
825.22,322,334
826.2,323,335
827.18,323,336
828.17,323,337
829.14,323,339
830.12,323,340
831.1,323,340
832.07,323,340
833.04,323,340
834,323,340
834.97,323,338
835.95,323,337
836.94,323,337
837.92,323,337
838.9,323,337
839.87,323,337
840.85,323,336
841.83,323,336
842.81,322,335
843.8,322,335
844.77,323,335
845.74,323,335
846.72,323,336
847.69,322,335
848.66,322,334
849.63,322,333
850.6,323,332
851.57,323,331
852.54,323,330
853.51,323,330
854.48,323,332
855.46,323,332
856.45,323,330
857.43,323,331
858.42,323,330
859.39,323,330
860.37,323,329
861.34,322,329
862.32,322,329
863.29,323,330
864.28,323,331
865.25,323,334
866.22,323,337
867.2,323,338
868.18,323,341
869.17,322,342
870.14,323,343
871.12,323,344
872.1,323,344
873.07,323,345
874.05,323,344
875.01,323,344
875.97,323,344
876.95,323,342
877.94,323,344
878.92,323,343
879.9,323,343
880.88,323,342
881.86,323,342
882.84,323,341
883.81,323,341
884.79,323,341
885.78,323,340
886.75,323,339
887.74,323,340
888.72,323,339
889.69,322,340
890.66,323,339
891.65,323,339
892.62,323,338
893.6,323,337
894.57,323,338
895.54,323,339
896.51,323,339
897.48,323,340
898.46,323,340
899.45,323,339
900.43,323,339
901.41,322,338
902.38,323,336
903.35,323,334
904.32,322,332
905.3,323,331
906.28,323,329
907.28,323,331
908.25,322,331
909.22,322,332
910.2,323,332
911.18,323,331
912.17,322,330
913.14,323,330
914.12,323,330
915.1,323,330
916.07,323,331
917.05,323,333
918.01,323,333
918.98,323,334
919.96,323,333
920.94,323,334
921.93,323,335
922.91,322,335
923.88,323,338
924.86,323,340
925.84,323,341
926.81,323,342
927.79,323,342
928.78,323,344
929.75,323,344
930.74,323,343
931.72,323,344
932.7,323,345
933.67,323,347
934.66,323,348
935.63,323,348
936.61,323,348
937.58,323,349
938.55,323,349
939.53,323,351
940.5,323,350
941.47,323,352
942.46,323,352
943.44,323,350
944.42,323,350
945.39,323,348
946.37,323,346
947.34,323,346
948.32,323,346
949.29,323,346
950.28,323,348
951.26,323,347
952.24,323,346
953.22,323,349
954.2,323,352
955.18,323,354
956.17,323,356
957.14,323,358
958.12,323,361
959.1,323,363
960.07,323,364
961.03,323,363
962,323,364
962.97,323,363
963.95,323,362
964.94,323,362
965.92,323,360
966.9,323,359
967.87,324,358
968.85,323,358
969.84,323,358
970.81,323,359
971.8,323,361
972.77,323,362
973.74,323,364
974.72,323,364
975.69,323,364
976.66,323,364
977.63,323,362
978.61,323,362
979.58,323,360
980.55,323,360
981.52,323,359
982.49,322,358
983.47,323,358
984.46,323,356
985.44,323,355
986.42,323,354
987.39,323,351
988.37,323,349
989.34,324,346
990.32,323,343
991.3,323,338
992.29,323,337
993.26,323,336
994.24,323,337
995.22,323,339
996.2,323,341
997.18,323,343
998.17,323,344
999.14,323,346
1000.12,323,347
1001.14,323,348
1002.17,323,350
1003.19,323,350
1004.22,323,349
1005.24,323,347
1006.26,323,343
1007.29,323,340
1008.31,323,336
1009.34,323,334
1010.36,323,334
1011.38,323,334
1012.41,323,337
1013.43,323,339
1014.46,323,341
1015.48,323,341
1016.5,323,341
1017.53,323,341
1018.55,323,341
1019.58,323,340
1020.6,323,340
1021.62,323,340
1022.65,323,340
1023.67,323,338
1024.7,323,336
1025.72,323,333
1026.74,323,331
1027.77,323,329
1028.79,323,328
1029.82,323,326
1030.84,323,327
1031.86,323,328
1032.89,323,332
1033.91,323,334
1034.94,323,335
1035.96,323,335
1036.98,323,335
1038.01,323,335
1039.04,323,337
1040.07,323,339
1041.1,323,339
1042.12,323,340
1043.14,323,340
1044.17,323,339
1045.19,323,337
1046.22,323,334
1047.24,323,332
1048.26,323,329
1049.29,323,327
1050.31,323,326
1051.34,323,324
1052.36,323,324
1053.38,323,325
1054.41,323,327
1055.43,323,330
1056.46,323,334
1057.48,323,338
1058.5,323,344
1059.53,323,351
1060.55,323,360
1061.58,323,371
1062.6,323,383
1063.62,323,397
1064.65,323,411
1065.67,323,427
1066.7,323,442
1067.72,323,455
1068.74,323,472
1069.77,323,488
1070.79,323,503
1071.82,323,519
1072.84,323,535
1073.86,323,551
1074.89,324,565
1075.91,323,576
1076.94,324,586
1077.96,324,592
1078.98,323,595
1080.01,323,596
1081.04,323,592
1082.07,323,584
1083.1,324,571
1084.13,323,553
1085.15,323,529
1086.18,324,504
1087.2,324,474
1088.22,324,444
1089.25,323,414
1090.27,324,386
1091.3,324,362
1092.32,324,342
1093.34,324,325
1094.37,323,312
1095.39,323,303
1096.42,324,296
1097.44,324,291
1098.46,324,287
1099.49,324,284
1100.51,323,284
1101.54,324,285
1102.56,324,286
1103.58,323,287
1104.61,323,287
1105.63,324,287
1106.66,324,287
1107.68,323,289
1108.7,323,291
1109.73,324,295
1110.75,324,300
1111.78,323,308
1112.8,323,315
1113.82,323,321
1114.85,323,328
1115.87,323,333
1116.9,323,336
1117.92,323,339
1118.94,323,341
1119.97,324,342
1120.99,324,342
1122.02,323,343
1123.04,323,343
1124.06,323,342
1125.09,323,342
1126.11,323,342
1127.14,323,341
1128.16,323,341
1129.18,323,342
1130.21,323,343
1131.23,323,345
1132.26,323,349
1133.28,323,354
1134.3,323,357
1135.33,323,360
1136.35,323,361
1137.38,324,361
1138.4,324,360
1139.42,323,361
1140.45,324,360
1141.47,323,359
1142.5,323,358
1143.52,324,356
1144.54,324,354
1145.57,323,354
1146.59,323,353
1147.62,323,354
1148.64,323,354
1149.66,323,355
1150.69,324,356
1151.71,324,358
1152.74,324,359
1153.76,324,359
1154.78,324,360
1155.81,323,359
1156.83,323,357
1157.86,324,356
1158.88,324,355
1159.9,323,355
1160.93,323,356
1161.95,323,357
1162.98,324,358
1164,323,358
1165.02,324,358
1166.06,324,357
1167.08,324,358
1168.1,324,359
1169.13,324,361
1170.15,323,362
1171.18,323,362
1172.2,323,362
1173.22,323,362
1174.25,323,362
1175.27,324,360
1176.3,323,359
1177.32,323,358
1178.34,323,359
1179.37,323,360
1180.39,324,361
1181.42,323,362
1182.44,323,362
1183.46,323,363
1184.49,323,363
1185.51,324,362
1186.54,324,362
1187.56,324,363
1188.58,324,363
1189.61,324,362
1190.63,324,362
1191.66,323,364
1192.68,324,366
1193.7,324,368
1194.73,324,369
1195.75,324,370
1196.78,324,373
1197.8,323,374
1198.82,324,378
1199.85,323,380
1200.87,324,380
1201.9,323,381
1202.92,324,380
1203.94,323,378
1204.97,323,375
1205.99,324,375
1207.02,324,375
1208.05,324,375
1209.07,324,376
1210.1,324,376
1211.14,324,377
1212.16,324,378
1213.18,324,378
1214.22,324,378
1215.24,323,377
1216.27,324,376
1217.3,324,375
1218.32,324,377
1219.34,324,377
1220.37,324,377
1221.39,324,378
1222.42,324,380
1223.45,324,383
1224.48,324,385
1225.51,324,386
1226.54,324,387
1227.56,324,388
1228.58,324,389
1229.62,324,390
1230.64,324,392
1231.66,324,394
1232.69,324,396
1233.72,324,398
1234.74,324,399
1235.77,324,399
1236.79,324,398
1237.82,324,396
1238.85,324,395
1239.88,324,394
1240.91,324,391
1241.94,324,390
1242.97,324,389
1244,324,388
1245.02,324,389
1246.06,324,391
1247.09,324,394
1248.11,324,395
1249.14,324,396
1250.16,324,395
1251.18,324,394
1252.22,324,394
1253.24,324,392
1254.27,324,392
1255.3,324,392
1256.32,324,394
1257.34,324,396
1258.37,324,399
1259.39,324,403
1260.42,324,406
1261.45,324,408
1262.48,324,411
1263.51,324,414
1264.54,324,417
1265.56,324,420
1266.58,324,422
1267.62,324,424
1268.64,324,426
1269.66,324,427
1270.69,324,427
1271.72,325,427
1272.74,324,427
1273.77,324,426
1274.79,325,425
1275.82,324,424
1276.85,324,422
1277.88,324,422
1278.91,324,420
1279.94,324,418
1280.97,324,415
1282,324,414
1283.02,324,412
1284.05,324,412
1285.07,324,414
1286.1,324,418
1287.12,324,422
1288.14,324,426
1289.17,324,430
1290.19,325,431
1291.22,325,433
1292.25,324,436
1293.27,324,438
1294.3,324,440
1295.32,324,440
1296.34,324,439
1297.37,324,438
1298.39,324,435
1299.42,324,433
1300.45,324,429
1301.48,325,425
1302.51,324,423
1303.54,325,420
1304.57,324,418
1305.59,324,415
1306.64,324,413
1307.66,325,411
1308.68,324,409
1309.72,324,407
1310.74,324,404
1311.76,324,403
1312.79,324,400
1313.82,325,399
1314.84,325,398
1315.88,325,398
1316.91,325,396
1317.93,325,395
1318.96,325,393
1319.98,324,390
1321.01,325,387
1322.04,324,384
1323.07,324,381
1324.09,325,379
1325.12,324,377
1326.14,325,375
1327.16,324,373
1328.19,325,370
1329.22,325,370
1330.24,325,369
1331.28,325,369
1332.31,325,368
1333.33,324,367
1334.36,324,364
1335.38,325,362
1336.41,324,359
1337.44,325,354
1338.47,324,350
1339.5,325,347
1340.53,324,344
1341.56,324,340
1342.58,325,338
1343.61,325,336
1344.64,324,337
1345.66,324,337
1346.68,325,337
1347.72,324,336
1348.74,324,335
1349.76,324,335
1350.79,324,334
1351.82,325,334
1352.85,324,333
1353.88,325,333
1354.92,325,331
1355.94,325,328
1356.97,325,328
1357.99,324,328
1359.02,324,329
1360.04,325,330
1361.06,325,330
1362.09,325,331
1363.11,324,332
1364.14,325,332
1365.16,325,331
1366.18,324,331
1367.21,324,330
1368.23,324,328
1369.25,324,326
1370.28,325,325
1371.3,325,323
1372.33,324,322
1373.35,324,323
1374.37,325,324
1375.4,324,325
1376.42,324,324
1377.44,325,323
1378.47,324,325
1379.5,325,326
1380.52,325,327
1381.54,324,328
1382.56,324,328
1383.59,325,329
1384.62,325,328
1385.64,324,327
1386.66,324,326
1387.68,325,324
1388.71,324,322
1389.73,325,319
1390.76,324,315
1391.78,324,312
1392.81,325,309
1393.83,325,309
1394.85,325,308
1395.88,324,307
1396.9,324,306
1397.93,325,307
1398.95,325,309
1399.98,325,313
1401,324,318
1402.02,325,322
1403.05,324,327
1404.07,324,330
1405.1,324,332
1406.12,324,334
1407.14,324,334
1408.16,324,333
1409.19,325,330
1410.22,324,328
1411.24,324,326
1412.26,324,324
1413.28,325,324
1414.31,325,323
1415.34,325,321
1416.36,325,320
1417.38,325,320
1418.41,324,321
1419.43,324,322
1420.45,325,321
1421.48,324,323
1422.5,325,323
1423.53,324,325
1424.55,324,325
1425.57,324,324
1426.6,325,323
1427.62,324,321
1428.64,324,320
1429.67,324,320
1430.69,325,321
1431.72,324,323
1432.74,324,325
1433.76,325,328
1434.79,324,329
1435.82,324,330
1436.84,325,330
1437.86,324,330
1438.89,325,329
1439.91,324,328
1440.93,325,327
1441.96,325,326
1442.98,325,325
1444.01,325,327
1445.03,325,326
1446.06,325,326
1447.08,325,324
1448.1,325,322
1449.13,325,320
1450.15,325,320
1451.17,324,321
1452.2,324,322
1453.22,325,324
1454.24,325,324
1455.27,325,322
1456.29,325,321
1457.32,324,320
1458.34,325,323
1459.36,325,327
1460.39,325,332
1461.42,325,335
1462.44,325,338
1463.46,325,340
1464.49,325,340
1465.51,325,341
1466.53,324,340
1467.56,325,338
1468.58,325,336
1469.61,324,335
1470.63,324,333
1471.65,324,331
1472.68,325,328
1473.7,325,327
1474.73,325,326
1475.75,325,325
1476.77,325,325
1477.8,324,325
1478.82,325,323
1479.84,325,323
1480.87,325,323
1481.9,325,322
1482.92,325,324
1483.94,325,325
1484.97,325,327
1485.99,325,328
1487.02,325,328
1488.04,325,329
1489.06,325,329
1490.09,325,330
1491.11,325,330
1492.14,325,332
1493.16,324,333
1494.18,325,334
1495.21,325,335
1496.23,325,335
1497.25,324,337
1498.28,325,339
1499.3,325,339
1500.33,325,339
1501.35,325,336
1502.37,325,337
1503.4,325,335
1504.42,325,335
1505.44,325,334
1506.47,325,334
1507.5,325,335
1508.52,325,335
1509.54,325,334
1510.56,325,333
1511.59,325,333
1512.62,325,334
1513.64,325,336
1514.66,325,338
1515.68,325,340
1516.71,325,341
1517.74,325,342
1518.76,325,342
1519.78,325,342
1520.81,325,342
1521.83,325,341
1522.85,325,340
1523.88,325,338
1524.9,325,336
1525.93,325,334
1526.95,325,335
1527.98,325,336
1529,325,336
1530.02,325,334
1531.05,325,336
1532.07,325,335
1533.1,325,336
1534.12,325,336
1535.14,325,337
1536.16,325,338
1537.19,325,339
1538.22,325,339
1539.24,325,339
1540.26,325,339
1541.28,325,339
1542.31,325,340
1543.34,325,340
1544.36,325,339
1545.38,325,339
1546.41,325,338
1547.43,325,336
1548.45,325,335
1549.48,325,334
1550.5,325,331
1551.53,325,330
1552.55,325,330
1553.57,325,331
1554.6,325,332
1555.62,325,333
1556.64,325,335
1557.67,325,337
1558.69,325,338
1559.72,325,338
1560.74,325,338
1561.76,326,338
1562.79,325,338
1563.82,325,339
1564.84,325,340
1565.86,325,342
1566.89,325,343
1567.91,325,343
1568.93,325,343
1569.96,325,342
1570.98,325,340
1572.01,325,338
1573.03,325,336
1574.06,325,336
1575.08,325,336
1576.1,325,336
1577.13,325,336
1578.15,326,336
1579.17,325,335
1580.2,326,335
1581.22,325,335
1582.24,325,336
1583.27,325,335
1584.29,325,336
1585.32,325,334
1586.34,325,335
1587.36,325,335
1588.39,325,338
1589.42,325,340
1590.44,325,343
1591.46,325,344
1592.5,325,344
1593.51,325,345
1594.53,326,346
1595.56,326,346
1596.58,325,344
1597.61,325,342
1598.63,325,341
1599.65,325,340
1600.68,326,340
1601.7,325,340
1602.73,326,340
1603.75,325,339
1604.77,325,338
1605.8,325,339
1606.82,326,340
1607.84,325,341
1608.87,325,342
1609.9,325,340
1610.92,325,342
1611.94,326,344
1612.97,325,344
1613.99,326,345
1615.02,325,344
1616.04,325,343
1617.06,326,342
1618.09,325,342
1619.11,325,342
1620.14,326,341
1621.16,326,340
1622.18,325,339
1623.21,326,339
1624.23,326,339
1625.25,325,339
1626.28,326,339
1627.3,326,339
1628.33,326,340
1629.35,326,340
1630.37,326,340
1631.4,326,340
1632.42,326,339
1633.44,326,340
1634.47,326,340
1635.5,326,341
1636.52,325,341
1637.54,325,342
1638.56,326,342
1639.59,326,342
1640.62,326,343
1641.64,326,343
1642.66,326,344
1643.68,326,344
1644.71,326,345
1645.73,325,345
1646.76,326,344
1647.78,326,343
1648.81,326,342
1649.83,326,342
1650.85,326,341
1651.88,326,342
